source_au_id,canonical_curve_au_id,selected_top_90_stratum,lexmatch_alias_used,source_stratum_code,canonical_stratum_code,source_si_class,canonical_si_class,source_bec_group,canonical_bec_group,source_species_combo,canonical_species_combo,stand_count,area_ha,canonical_selected_area_ha
cwhvm1_hw_cw_m,cwhvm1_hw_cw_m,True,False,CWHvm1_HW+CW,CWHvm1_HW+CW,M,M,CWHvm1,CWHvm1,HW+CW,HW+CW,1602,14576.473609,14576.473609
cwhvm1_hw_ba_m,cwhvm1_hw_ba_m,True,False,CWHvm1_HW+BA,CWHvm1_HW+BA,M,M,CWHvm1,CWHvm1,HW+BA,HW+BA,1222,13083.871387,13083.871387
cwhvm1_hw_cw_l,cwhvm1_hw_cw_l,True,False,CWHvm1_HW+CW,CWHvm1_HW+CW,L,L,CWHvm1,CWHvm1,HW+CW,HW+CW,1112,7117.880299,7117.880299
cwhvm1_hw_ba_h,cwhvm1_hw_ba_h,True,False,CWHvm1_HW+BA,CWHvm1_HW+BA,H,H,CWHvm1,CWHvm1,HW+BA,HW+BA,531,6336.709216,6336.709216
cwhvm1_hw_ba_l,cwhvm1_hw_ba_l,True,False,CWHvm1_HW+BA,CWHvm1_HW+BA,L,L,CWHvm1,CWHvm1,HW+BA,HW+BA,952,6328.040635,6328.040635
cwhvm1_cw_hw_h,cwhvm1_cw_hw_h,True,False,CWHvm1_CW+HW,CWHvm1_CW+HW,H,H,CWHvm1,CWHvm1,CW+HW,CW+HW,717,6154.404369,6154.404369
cwhvm1_cw_hw_l,cwhvm1_cw_hw_l,True,False,CWHvm1_CW+HW,CWHvm1_CW+HW,L,L,CWHvm1,CWHvm1,CW+HW,CW+HW,927,6107.943901,6107.943901
cwhvm1_hw_m,cwhvm1_hw_m,True,False,CWHvm1_HW,CWHvm1_HW,M,M,CWHvm1,CWHvm1,HW,HW,448,4138.939451,4138.939451
cwhvm1_hw_ss_l,cwhvm1_hw_ss_l,True,False,CWHvm1_HW+SS,CWHvm1_HW+SS,L,L,CWHvm1,CWHvm1,HW+SS,HW+SS,463,4135.63912,4135.63912
cwhvm1_cw_hw_m,cwhvm1_cw_hw_m,True,False,CWHvm1_CW+HW,CWHvm1_CW+HW,M,M,CWHvm1,CWHvm1,CW+HW,CW+HW,568,4015.120247,4015.120247
cwhvm2_hw_ba_h,cwhvm2_hw_ba_h,True,False,CWHvm2_HW+BA,CWHvm2_HW+BA,H,H,CWHvm2,CWHvm2,HW+BA,HW+BA,326,3577.020254,3577.020254
cwhvm2_hw_ba_l,cwhvm2_hw_ba_l,True,False,CWHvm2_HW+BA,CWHvm2_HW+BA,L,L,CWHvm2,CWHvm2,HW+BA,HW+BA,448,3095.371233,3095.371233
cwhvm1_hw_cw_h,cwhvm1_hw_cw_h,True,False,CWHvm1_HW+CW,CWHvm1_HW+CW,H,H,CWHvm1,CWHvm1,HW+CW,HW+CW,349,2899.431292,2899.431292
cwhvm2_hw_ba_m,cwhvm2_hw_ba_m,True,False,CWHvm2_HW+BA,CWHvm2_HW+BA,M,M,CWHvm2,CWHvm2,HW+BA,HW+BA,304,2418.081584,2418.081584
cwhvm1_hw_ss_h,cwhvm1_hw_ss_h,True,False,CWHvm1_HW+SS,CWHvm1_HW+SS,H,H,CWHvm1,CWHvm1,HW+SS,HW+SS,236,2240.217819,2240.217819
cwhvm1_hw_h,cwhvm1_hw_h,True,False,CWHvm1_HW,CWHvm1_HW,H,H,CWHvm1,CWHvm1,HW,HW,223,1645.046704,1645.046704
cwhvm1_hw_l,cwhvm1_hw_l,True,False,CWHvm1_HW,CWHvm1_HW,L,L,CWHvm1,CWHvm1,HW,HW,375,1582.40532,1582.40532
cwhvm1_cw_h,cwhvm1_cw_h,True,False,CWHvm1_CW,CWHvm1_CW,H,H,CWHvm1,CWHvm1,CW,CW,131,1331.281287,1331.281287
cwhvm1_cw_yc_l,cwhvm1_cw_yc_l,True,False,CWHvm1_CW+YC,CWHvm1_CW+YC,L,L,CWHvm1,CWHvm1,CW+YC,CW+YC,93,1293.870013,1293.870013
cwhvm1_hw_fdc_l,cwhvm1_hw_fdc_l,True,False,CWHvm1_HW+FDC,CWHvm1_HW+FDC,L,L,CWHvm1,CWHvm1,HW+FDC,HW+FDC,110,1288.9352,1288.9352
cwhvm1_hw_dr_m,cwhvm1_hw_dr_m,True,False,CWHvm1_HW+DR,CWHvm1_HW+DR,M,M,CWHvm1,CWHvm1,HW+DR,HW+DR,148,1157.28499,1157.28499
cwhvm2_hw_cw_h,cwhvm2_hw_cw_h,True,False,CWHvm2_HW+CW,CWHvm2_HW+CW,H,H,CWHvm2,CWHvm2,HW+CW,HW+CW,131,1136.408457,1136.408457
cwhvh1_cw_hw_l,cwhvh1_cw_hw_l,True,False,CWHvh1_CW+HW,CWHvh1_CW+HW,L,L,CWHvh1,CWHvh1,CW+HW,CW+HW,175,1104.143424,1104.143424
cwhvh1_cw_hw_h,cwhvh1_cw_hw_h,True,False,CWHvh1_CW+HW,CWHvh1_CW+HW,H,H,CWHvh1,CWHvh1,CW+HW,CW+HW,138,1076.780452,1076.780452
cwhvm1_hw_dr_l,cwhvm1_hw_dr_l,True,False,CWHvm1_HW+DR,CWHvm1_HW+DR,L,L,CWHvm1,CWHvm1,HW+DR,HW+DR,151,983.327431,983.327431
cwhvm1_hw_dr_h,cwhvm1_hw_dr_h,True,False,CWHvm1_HW+DR,CWHvm1_HW+DR,H,H,CWHvm1,CWHvm1,HW+DR,HW+DR,133,949.516627,949.516627
cwhvm1_hw_ss_m,cwhvm1_hw_ss_m,True,False,CWHvm1_HW+SS,CWHvm1_HW+SS,M,M,CWHvm1,CWHvm1,HW+SS,HW+SS,73,928.457868,928.457868
cwhvh1_cw_hw_m,cwhvh1_cw_hw_m,True,False,CWHvh1_CW+HW,CWHvh1_CW+HW,M,M,CWHvh1,CWHvh1,CW+HW,CW+HW,122,925.172952,925.172952
cwhvm1_hw_fdc_h,cwhvm1_hw_fdc_h,True,False,CWHvm1_HW+FDC,CWHvm1_HW+FDC,H,H,CWHvm1,CWHvm1,HW+FDC,HW+FDC,51,888.764635,888.764635
cwhvm2_hw_cw_m,cwhvm2_hw_cw_m,True,False,CWHvm2_HW+CW,CWHvm2_HW+CW,M,M,CWHvm2,CWHvm2,HW+CW,HW+CW,117,876.653905,876.653905
cwhvh1_hw_cw_h,cwhvh1_hw_cw_h,True,False,CWHvh1_HW+CW,CWHvh1_HW+CW,H,H,CWHvh1,CWHvh1,HW+CW,HW+CW,97,858.724563,858.724563
cwhvm1_hw_fd_h,cwhvm1_hw_fd_h,True,False,CWHvm1_HW+FD,CWHvm1_HW+FD,H,H,CWHvm1,CWHvm1,HW+FD,HW+FD,56,812.542221,812.542221
cwhvh1_hw_cw_l,cwhvh1_hw_cw_l,True,False,CWHvh1_HW+CW,CWHvh1_HW+CW,L,L,CWHvh1,CWHvh1,HW+CW,HW+CW,125,749.479196,749.479196
cwhvm2_ba_hw_m,cwhvm2_ba_hw_m,True,False,CWHvm2_BA+HW,CWHvm2_BA+HW,M,M,CWHvm2,CWHvm2,BA+HW,BA+HW,62,737.724583,737.724583
cwhvm1_cw_m,cwhvm1_cw_m,True,False,CWHvm1_CW,CWHvm1_CW,M,M,CWHvm1,CWHvm1,CW,CW,149,736.056723,736.056723
cwhvm2_hw_cw_l,cwhvm2_hw_cw_l,True,False,CWHvm2_HW+CW,CWHvm2_HW+CW,L,L,CWHvm2,CWHvm2,HW+CW,HW+CW,139,726.648803,726.648803
cwhvm1_hw_fd_m,cwhvm1_hw_fd_m,True,False,CWHvm1_HW+FD,CWHvm1_HW+FD,M,M,CWHvm1,CWHvm1,HW+FD,HW+FD,59,678.283068,678.283068
cwhvm1_dr_hw_h,cwhvm1_dr_hw_h,True,False,CWHvm1_DR+HW,CWHvm1_DR+HW,H,H,CWHvm1,CWHvm1,DR+HW,DR+HW,101,620.529576,620.529576
cwhvm1_yc_hw_l,cwhvm1_yc_hw_l,True,False,CWHvm1_YC+HW,CWHvm1_YC+HW,L,L,CWHvm1,CWHvm1,YC+HW,YC+HW,35,585.006343,585.006343
cwhvm1_ss_hw_h,cwhvm1_ss_hw_h,True,False,CWHvm1_SS+HW,CWHvm1_SS+HW,H,H,CWHvm1,CWHvm1,SS+HW,SS+HW,52,576.664115,576.664115
cwhvm1_cw_l,cwhvm1_cw_l,True,False,CWHvm1_CW,CWHvm1_CW,L,L,CWHvm1,CWHvm1,CW,CW,162,558.799848,558.799848
cwhvm2_cw_hw_h,cwhvm2_cw_hw_h,True,False,CWHvm2_CW+HW,CWHvm2_CW+HW,H,H,CWHvm2,CWHvm2,CW+HW,CW+HW,52,548.518658,548.518658
cwhvm1_ss_hw_l,cwhvm1_ss_hw_l,True,False,CWHvm1_SS+HW,CWHvm1_SS+HW,L,L,CWHvm1,CWHvm1,SS+HW,SS+HW,56,541.878934,541.878934
cwhvm1_ss_hw_m,cwhvm1_ss_hw_m,True,False,CWHvm1_SS+HW,CWHvm1_SS+HW,M,M,CWHvm1,CWHvm1,SS+HW,SS+HW,49,519.509989,519.509989
cwhvm1_cw_yc_h,cwhvm1_cw_yc_h,True,False,CWHvm1_CW+YC,CWHvm1_CW+YC,H,H,CWHvm1,CWHvm1,CW+YC,CW+YC,66,485.666198,485.666198
cwhvh1_hw_ba_l,cwhvh1_hw_ba_l,True,False,CWHvh1_HW+BA,CWHvh1_HW+BA,L,L,CWHvh1,CWHvh1,HW+BA,HW+BA,81,467.414274,467.414274
cwhvm1_dr_hw_l,cwhvm1_dr_hw_l,True,False,CWHvm1_DR+HW,CWHvm1_DR+HW,L,L,CWHvm1,CWHvm1,DR+HW,DR+HW,128,463.173065,463.173065
cwhvm2_cw_hw_l,cwhvm2_cw_hw_l,True,False,CWHvm2_CW+HW,CWHvm2_CW+HW,L,L,CWHvm2,CWHvm2,CW+HW,CW+HW,63,408.991977,408.991977
cwhvm1_hw_fd_l,cwhvm1_hw_fd_l,True,False,CWHvm1_HW+FD,CWHvm1_HW+FD,L,L,CWHvm1,CWHvm1,HW+FD,HW+FD,67,401.313888,401.313888
cwhvm2_yc_hw_l,cwhvm2_yc_hw_l,True,False,CWHvm2_YC+HW,CWHvm2_YC+HW,L,L,CWHvm2,CWHvm2,YC+HW,YC+HW,49,398.830202,398.830202
cwhvm2_hw_yc_h,cwhvm2_hw_yc_h,True,False,CWHvm2_HW+YC,CWHvm2_HW+YC,H,H,CWHvm2,CWHvm2,HW+YC,HW+YC,52,387.20452,387.20452
cwhvh1_hw_ss_h,cwhvh1_hw_ss_h,True,False,CWHvh1_HW+SS,CWHvh1_HW+SS,H,H,CWHvh1,CWHvh1,HW+SS,HW+SS,40,376.075834,376.075834
cwhvm1_yc_cw_l,cwhvm1_yc_cw_l,True,False,CWHvm1_YC+CW,CWHvm1_YC+CW,L,L,CWHvm1,CWHvm1,YC+CW,YC+CW,50,373.090164,373.090164
cwhvh1_hw_ba_h,cwhvh1_hw_ba_h,True,False,CWHvh1_HW+BA,CWHvh1_HW+BA,H,H,CWHvh1,CWHvh1,HW+BA,HW+BA,59,372.648201,372.648201
cwhvm1_dr_hw_m,cwhvm1_dr_hw_m,True,False,CWHvm1_DR+HW,CWHvm1_DR+HW,M,M,CWHvm1,CWHvm1,DR+HW,DR+HW,96,354.077189,354.077189
cwhvm2_yc_hw_h,cwhvm2_yc_hw_h,True,False,CWHvm2_YC+HW,CWHvm2_YC+HW,H,H,CWHvm2,CWHvm2,YC+HW,YC+HW,37,351.523571,351.523571
cwhvm2_ba_hw_h,cwhvm2_ba_hw_h,True,False,CWHvm2_BA+HW,CWHvm2_BA+HW,H,H,CWHvm2,CWHvm2,BA+HW,BA+HW,37,350.789044,350.789044
cwhvm2_ba_hw_l,cwhvm2_ba_hw_l,True,False,CWHvm2_BA+HW,CWHvm2_BA+HW,L,L,CWHvm2,CWHvm2,BA+HW,BA+HW,58,345.036288,345.036288
cwhvm1_dr_l,cwhvm1_dr_l,True,False,CWHvm1_DR,CWHvm1_DR,L,L,CWHvm1,CWHvm1,DR,DR,112,342.368985,342.368985
cwhvh1_hw_cw_m,cwhvh1_hw_cw_m,True,False,CWHvh1_HW+CW,CWHvh1_HW+CW,M,M,CWHvh1,CWHvh1,HW+CW,HW+CW,69,339.5067,339.5067
cwhvm1_ba_hw_h,cwhvm1_ba_hw_h,True,False,CWHvm1_BA+HW,CWHvm1_BA+HW,H,H,CWHvm1,CWHvm1,BA+HW,BA+HW,36,311.257048,311.257048
cwhvm1_dr_h,cwhvm1_dr_h,True,False,CWHvm1_DR,CWHvm1_DR,H,H,CWHvm1,CWHvm1,DR,DR,74,308.751729,308.751729
cwhvm1_yc_cw_m,cwhvm1_yc_cw_m,True,False,CWHvm1_YC+CW,CWHvm1_YC+CW,M,M,CWHvm1,CWHvm1,YC+CW,YC+CW,28,300.492117,300.492117
cwhvm1_cw_yc_m,cwhvm1_cw_yc_m,True,False,CWHvm1_CW+YC,CWHvm1_CW+YC,M,M,CWHvm1,CWHvm1,CW+YC,CW+YC,30,285.012202,285.012202
cwhvm2_hw_yc_l,cwhvm2_hw_yc_l,True,False,CWHvm2_HW+YC,CWHvm2_HW+YC,L,L,CWHvm2,CWHvm2,HW+YC,HW+YC,64,282.434482,282.434482
cwhvm2_hw_yc_m,cwhvm2_hw_yc_m,True,False,CWHvm2_HW+YC,CWHvm2_HW+YC,M,M,CWHvm2,CWHvm2,HW+YC,HW+YC,33,265.215143,265.215143
cwhvh1_hw_ss_l,cwhvh1_hw_ss_l,True,False,CWHvh1_HW+SS,CWHvh1_HW+SS,L,L,CWHvh1,CWHvh1,HW+SS,HW+SS,49,265.087958,265.087958
cwhvm1_ba_hw_l,cwhvm1_ba_hw_l,True,False,CWHvm1_BA+HW,CWHvm1_BA+HW,L,L,CWHvm1,CWHvm1,BA+HW,BA+HW,47,255.663163,255.663163
cwhvh1_hw_ss_m,cwhvh1_hw_ss_m,True,False,CWHvh1_HW+SS,CWHvh1_HW+SS,M,M,CWHvh1,CWHvh1,HW+SS,HW+SS,34,246.655292,246.655292
cwhvm2_cw_hw_m,cwhvm2_cw_hw_m,True,False,CWHvm2_CW+HW,CWHvm2_CW+HW,M,M,CWHvm2,CWHvm2,CW+HW,CW+HW,45,242.937625,242.937625
cwhvm1_yc_cw_h,cwhvm1_yc_cw_h,True,False,CWHvm1_YC+CW,CWHvm1_YC+CW,H,H,CWHvm1,CWHvm1,YC+CW,YC+CW,35,217.135653,217.135653
cwhvm1_yc_hw_m,cwhvm1_yc_hw_m,True,False,CWHvm1_YC+HW,CWHvm1_YC+HW,M,M,CWHvm1,CWHvm1,YC+HW,YC+HW,24,202.046732,202.046732
cwhvh1_hw_ba_m,cwhvh1_hw_ba_m,True,False,CWHvh1_HW+BA,CWHvh1_HW+BA,M,M,CWHvh1,CWHvh1,HW+BA,HW+BA,32,140.890507,140.890507
cwhvm1_yc_hw_h,cwhvm1_yc_hw_h,True,False,CWHvm1_YC+HW,CWHvm1_YC+HW,H,H,CWHvm1,CWHvm1,YC+HW,YC+HW,27,138.594908,138.594908
cwhvm1_dr_m,cwhvm1_dr_m,True,False,CWHvm1_DR,CWHvm1_DR,M,M,CWHvm1,CWHvm1,DR,DR,49,138.340811,138.340811
cwhvm1_ba_hw_m,cwhvm1_ba_hw_m,True,False,CWHvm1_BA+HW,CWHvm1_BA+HW,M,M,CWHvm1,CWHvm1,BA+HW,BA+HW,28,134.660517,134.660517
cwhvm2_yc_hw_m,cwhvm2_yc_hw_m,True,False,CWHvm2_YC+HW,CWHvm2_YC+HW,M,M,CWHvm2,CWHvm2,YC+HW,YC+HW,21,65.403134,65.403134
cwhvm1_hw_yc_m,cwhvm1_cw_yc_m,False,True,CWHvm1_HW+YC,CWHvm1_CW+YC,M,M,CWHvm1,CWHvm1,HW+YC,CW+YC,36,311.913583,285.012202
mhmm1_hw_ba_h,cwhvm1_hw_ba_h,False,True,MHmm1_HW+BA,CWHvm1_HW+BA,H,H,MHmm1,CWHvm1,HW+BA,HW+BA,26,267.225307,6336.709216
cwhvm1_yc_pl_l,cwhvm1_yc_hw_l,False,True,CWHvm1_YC+PL,CWHvm1_YC+HW,L,L,CWHvm1,CWHvm1,YC+PL,YC+HW,12,262.207973,585.006343
cwhvm2_cw_yc_l,cwhvm1_cw_yc_l,False,True,CWHvm2_CW+YC,CWHvm1_CW+YC,L,L,CWHvm2,CWHvm1,CW+YC,CW+YC,20,261.487908,1293.870013
cwhvm2_hw_h,cwhvm1_hw_h,False,True,CWHvm2_HW,CWHvm1_HW,H,H,CWHvm2,CWHvm1,HW,HW,45,253.224256,1645.046704
cwhvm1_fd_hw_l,cwhvm1_cw_hw_l,False,True,CWHvm1_FD+HW,CWHvm1_CW+HW,L,L,CWHvm1,CWHvm1,FD+HW,CW+HW,29,242.250001,6107.943901
mhmm1_yc_hw_l,cwhvm1_yc_hw_l,False,True,MHmm1_YC+HW,CWHvm1_YC+HW,L,L,MHmm1,CWHvm1,YC+HW,YC+HW,13,226.955864,585.006343
cwhvm2_hm_yc_l,cwhvm2_hw_yc_l,False,True,CWHvm2_HM+YC,CWHvm2_HW+YC,L,L,CWHvm2,CWHvm2,HM+YC,HW+YC,34,221.379093,282.434482
cwhvm2_hw_l,cwhvm1_hw_l,False,True,CWHvm2_HW,CWHvm1_HW,L,L,CWHvm2,CWHvm1,HW,HW,64,220.855384,1582.40532
cwhvm1_fd_hw_h,cwhvm1_cw_hw_h,False,True,CWHvm1_FD+HW,CWHvm1_CW+HW,H,H,CWHvm1,CWHvm1,FD+HW,CW+HW,21,217.754959,6154.404369
cwhvm2_yc_hm_l,cwhvm2_yc_hw_l,False,True,CWHvm2_YC+HM,CWHvm2_YC+HW,L,L,CWHvm2,CWHvm2,YC+HM,YC+HW,30,213.342889,398.830202
mhmm1_hw_ba_m,cwhvm1_hw_ba_m,False,True,MHmm1_HW+BA,CWHvm1_HW+BA,M,M,MHmm1,CWHvm1,HW+BA,HW+BA,21,209.002693,13083.871387
cwhvm2_hm_yc_m,cwhvm2_hw_yc_m,False,True,CWHvm2_HM+YC,CWHvm2_HW+YC,M,M,CWHvm2,CWHvm2,HM+YC,HW+YC,31,193.711805,265.215143
cwhvm2_yc_hm_m,cwhvm2_yc_hw_m,False,True,CWHvm2_YC+HM,CWHvm2_YC+HW,M,M,CWHvm2,CWHvm2,YC+HM,YC+HW,26,181.463993,65.403134
cwhvm1_cw_pl_m,cwhvm1_cw_hw_m,False,True,CWHvm1_CW+PL,CWHvm1_CW+HW,M,M,CWHvm1,CWHvm1,CW+PL,CW+HW,30,180.573688,4015.120247
cwhvm2_yc_hm_h,cwhvm2_yc_hw_h,False,True,CWHvm2_YC+HM,CWHvm2_YC+HW,H,H,CWHvm2,CWHvm2,YC+HM,YC+HW,27,179.119312,351.523571
cwhvm2_hw_m,cwhvm1_hw_m,False,True,CWHvm2_HW,CWHvm1_HW,M,M,CWHvm2,CWHvm1,HW,HW,30,173.739402,4138.939451
cwhvm1_cw_pl_l,cwhvm1_cw_hw_l,False,True,CWHvm1_CW+PL,CWHvm1_CW+HW,L,L,CWHvm1,CWHvm1,CW+PL,CW+HW,46,171.750645,6107.943901
cwhvm1_fdc_hw_h,cwhvm1_dr_hw_h,False,True,CWHvm1_FDC+HW,CWHvm1_DR+HW,H,H,CWHvm1,CWHvm1,FDC+HW,DR+HW,13,160.439609,620.529576
cwhvm1_hw_yc_l,cwhvm1_cw_yc_l,False,True,CWHvm1_HW+YC,CWHvm1_CW+YC,L,L,CWHvm1,CWHvm1,HW+YC,CW+YC,26,153.911945,1293.870013
cwhvm1_fd_hw_m,cwhvm1_cw_hw_m,False,True,CWHvm1_FD+HW,CWHvm1_CW+HW,M,M,CWHvm1,CWHvm1,FD+HW,CW+HW,23,151.545099,4015.120247
cwhvm1_cw_pl_h,cwhvm1_cw_hw_h,False,True,CWHvm1_CW+PL,CWHvm1_CW+HW,H,H,CWHvm1,CWHvm1,CW+PL,CW+HW,25,146.582428,6154.404369
cwhvm1_yc_hm_h,cwhvm1_yc_hw_h,False,True,CWHvm1_YC+HM,CWHvm1_YC+HW,H,H,CWHvm1,CWHvm1,YC+HM,YC+HW,12,137.789205,138.594908
cwhvh1_cw_h,cwhvm1_cw_h,False,True,CWHvh1_CW,CWHvm1_CW,H,H,CWHvh1,CWHvm1,CW,CW,15,137.570264,1331.281287
mhmm1_hw_ba_l,cwhvm1_hw_ba_l,False,True,MHmm1_HW+BA,CWHvm1_HW+BA,L,L,MHmm1,CWHvm1,HW+BA,HW+BA,27,135.845511,6328.040635
mhmm1_ba_hw_l,cwhvm1_ba_hw_l,False,True,MHmm1_BA+HW,CWHvm1_BA+HW,L,L,MHmm1,CWHvm1,BA+HW,BA+HW,15,128.503571,255.663163
cwhvm1_cw_ss_l,cwhvm1_hw_ss_l,False,True,CWHvm1_CW+SS,CWHvm1_HW+SS,L,L,CWHvm1,CWHvm1,CW+SS,HW+SS,15,127.085954,4135.63912
cwhvm2_hm_yc_h,cwhvm2_hw_yc_h,False,True,CWHvm2_HM+YC,CWHvm2_HW+YC,H,H,CWHvm2,CWHvm2,HM+YC,HW+YC,23,124.5583,387.20452
cwhvm2_yc_cw_m,cwhvm1_yc_cw_m,False,True,CWHvm2_YC+CW,CWHvm1_YC+CW,M,M,CWHvm2,CWHvm1,YC+CW,YC+CW,10,124.451903,300.492117
cwhvm2_cw_yc_h,cwhvm1_cw_yc_h,False,True,CWHvm2_CW+YC,CWHvm1_CW+YC,H,H,CWHvm2,CWHvm1,CW+YC,CW+YC,16,123.128412,485.666198
cwhvm1_fdc_hw_l,cwhvm1_yc_hw_l,False,True,CWHvm1_FDC+HW,CWHvm1_YC+HW,L,L,CWHvm1,CWHvm1,FDC+HW,YC+HW,16,121.934601,585.006343
cwhvh1_hw_dr_l,cwhvm1_hw_dr_l,False,True,CWHvh1_HW+DR,CWHvm1_HW+DR,L,L,CWHvh1,CWHvm1,HW+DR,HW+DR,11,119.054185,983.327431
cwhvm2_hw_fd_m,cwhvm1_hw_fd_m,False,True,CWHvm2_HW+FD,CWHvm1_HW+FD,M,M,CWHvm2,CWHvm1,HW+FD,HW+FD,6,115.662647,678.283068
cwhvh1_hw_h,cwhvm1_hw_h,False,True,CWHvh1_HW,CWHvm1_HW,H,H,CWHvh1,CWHvm1,HW,HW,18,114.740455,1645.046704
cwhvm1_yc_hm_l,cwhvm1_yc_hw_l,False,True,CWHvm1_YC+HM,CWHvm1_YC+HW,L,L,CWHvm1,CWHvm1,YC+HM,YC+HW,18,110.82835,585.006343
cwhvm1_cw_ss_m,cwhvm1_hw_ss_m,False,True,CWHvm1_CW+SS,CWHvm1_HW+SS,M,M,CWHvm1,CWHvm1,CW+SS,HW+SS,18,110.703244,928.457868
mhmm1_ba_yc_l,cwhvm1_cw_yc_l,False,True,MHmm1_BA+YC,CWHvm1_CW+YC,L,L,MHmm1,CWHvm1,BA+YC,CW+YC,15,109.02341,1293.870013
cwhvm2_cw_yc_m,cwhvm1_cw_yc_m,False,True,CWHvm2_CW+YC,CWHvm1_CW+YC,M,M,CWHvm2,CWHvm1,CW+YC,CW+YC,11,106.228708,285.012202
cwhvh1_cw_yc_l,cwhvm1_cw_yc_l,False,True,CWHvh1_CW+YC,CWHvm1_CW+YC,L,L,CWHvh1,CWHvm1,CW+YC,CW+YC,22,103.365402,1293.870013
mhmm1_hm_yc_l,cwhvm1_cw_yc_l,False,True,MHmm1_HM+YC,CWHvm1_CW+YC,L,L,MHmm1,CWHvm1,HM+YC,CW+YC,14,101.963667,1293.870013
cwhvh1_ss_hw_m,cwhvm1_ss_hw_m,False,True,CWHvh1_SS+HW,CWHvm1_SS+HW,M,M,CWHvh1,CWHvm1,SS+HW,SS+HW,18,100.881499,519.509989
cwhvm1_fdc_cw_l,cwhvm1_yc_cw_l,False,True,CWHvm1_FDC+CW,CWHvm1_YC+CW,L,L,CWHvm1,CWHvm1,FDC+CW,YC+CW,12,99.502415,373.090164
cwhvm2_yc_pl_l,cwhvm2_yc_hw_l,False,True,CWHvm2_YC+PL,CWHvm2_YC+HW,L,L,CWHvm2,CWHvm2,YC+PL,YC+HW,2,98.359626,398.830202
cwhvm1_cw_plc_l,cwhvm1_cw_yc_l,False,True,CWHvm1_CW+PLC,CWHvm1_CW+YC,L,L,CWHvm1,CWHvm1,CW+PLC,CW+YC,12,96.570206,1293.870013
cwhvm2_yc_cw_l,cwhvm2_yc_hw_l,False,True,CWHvm2_YC+CW,CWHvm2_YC+HW,L,L,CWHvm2,CWHvm2,YC+CW,YC+HW,14,95.992262,398.830202
cwhvm2_hw_dr_h,cwhvm1_hw_dr_h,False,True,CWHvm2_HW+DR,CWHvm1_HW+DR,H,H,CWHvm2,CWHvm1,HW+DR,HW+DR,7,91.737851,949.516627
