assumption_id,assumption_family,mp11_summary,mp11_pdf_pages,mp11_source_context,phase5_surface,phase5_summary,delta_class,implementation_class,phase7_plus_followup,review_status,downstream_use,model_input_status,notes
inventory_vri_lidar_iti,inventory,"MP11 uses VRI updated to December 31, 2023, LiDAR-derived stand heights, Land Base Blocking, and LiDAR-derived Individual Tree Inventory proposals for natural-stand sensitivity work.",266-279,"Appendix B sections 3.5.2 and 5.1-5.2 describe full-TFL LiDAR, LBB, LEFI-style height assignment, ITI attributes, and VRI currency.",config/run_profile.tfl6.yaml; config/tsr/source_layers.recipe.yaml; docs/phase5-rebuild-provenance.rst,"Phase 5 uses public 2025 R1/VRI and VDYP7 source surfaces, with no accepted proprietary LBB, LEFI, or ITI attributes.",unresolved_wfp_inventory_gap,public_vri_refresh_plus_private_lidar_iti_gap,"Refresh public inventory surfaces where possible, then create an explicit LiDAR/ITI gap lane for unavailable WFP-derived attributes.",reviewed_evidence,phase6_assumption_comparison_only,not_model_input,This row is a planning comparison only; ITI/LEFI values are not accepted as FEMIC inputs.
physical_operability_lbb,operability,"MP11 physical operability is mapped from the LBB process using LiDAR and professional review; inoperable area removes 21,193 ha from THLB.","257-258, 265-267, 297-299","Appendix B sections 3.1, 3.5.1.4, 3.5.2.2, and 6.8; Tables 18-20.",config/tsr/thlb_netdown.recipe.yaml; planning/tfl6_operability_netdown_proxy.md; docs/phase5-known-limitations-release-readiness.rst,Phase 5 carries a benchmark-calibrated operability placeholder and explicitly defers reviewed ground/cable/heli assignment.,proxy_replacement_required,model_spatial_layer_update,"Replace the placeholder with a reviewed public DEM/slope proxy where possible, and keep WFP LBB as an unavailable reference benchmark unless a shareable layer appears.",reviewed_evidence,phase6_assumption_comparison_only,not_model_input,Do not infer WFP LBB geometry from summarized areas.
economic_operability_helicopter,operability,"MP11 treats conventional land as economically viable and applies flight-distance, minimum volume, and Cw+Fd+Yc component thresholds to helicopter-operable stands; only 20 ha are netted down as non-conventional uneconomic.",311-313,Appendix B section 6.13; Tables 27-29.,docs/phase5-known-limitations-release-readiness.rst; planning/tfl6_treatment_option_contract.md,Phase 5 does not implement delivered-cost or harvest-system-specific economic operability logic; it records cost and system splits as later work.,new_model_parameter_and_cost_proxy_gap,sensitivity_candidate,"Add a helicopter economic-operability sensitivity lane using public stand volume, species share, and distance/access proxies.",reviewed_evidence,phase6_assumption_comparison_only,not_model_input,The exact flight-distance/access basis remains unavailable from the public PDF.
analysis_unit_definition,analysis_units,"MP11 managed AUs are defined by AU era, BEC variant, site series, leading species, and silvicultural treatments; natural stands older than 62 years are projected polygon-by-polygon.",348-354,Appendix B section 7.3; Tables 47-51.,planning/tfl6_au_yield_curve_contract.md; docs/phase3-au-yield-curves.rst,"Phase 5 static AUs are BEC/species/SI classes with top-area selection and remapping; MP10 AU codes are retained as parameter evidence, not canonical identity.",model_contract_update,analysis_unit_overhaul,Decide whether to migrate to MP11 era/site-series/treatment AU identity or preserve Phase 5 static AU identity with MP11 attributes as crosswalk fields.,reviewed_evidence,phase6_assumption_comparison_only,not_model_input,This is one of the largest structural differences between MP11 and the teaching prototype.
growth_yield_software,growth_yield,MP11 uses VDYP 7.33b for natural stands and BatchTIPSY/TIPSY 4.6 for managed and future managed stands.,"272, 348, 355","Appendix B section 3.6.3, 7.3.1, and 8; Table 52.",config/tipsy/tfl6.yaml; planning/tfl6_tipsy_btc_handoff_manifest.md,Phase 5 uses accepted VDYP first-growth curves and MP10-derived BatchTIPSY parameter evidence; the TIPSY config records MP10 Tables 27-29 as the source library.,model_parameter_update,yield_pipeline_refresh,"Regenerate natural and managed curves only in a later implementation phase, after AU identity and MP11 TIPSY parameter extraction are reviewed.",reviewed_evidence,phase6_assumption_comparison_only,not_model_input,P6.4 records the version/contract delta but does not regenerate curves.
site_index_sibec_tem_lefi,site_productivity,"MP11 uses RESULTS-derived SI for existing managed stands, SIBEC/TEM site series for future stands, and LEFI/LiDAR height-derived SI in sensitivity work.","272, 278-279, 349-350, 356-357","Appendix B sections 3.6.3, 5.2.3, 7.3.2, and 8.2.1.",planning/tfl6_au_yield_curve_contract.md; config/run_profile.tfl6.yaml,Phase 5 uses public VRI/VDYP attributes and an L/M/H SI class contract; it does not implement MP11 SIBEC/site-series future-stand SI or LEFI sensitivity.,mixed_public_and_private_data_update,model_parameter_update,"Assess public SIBEC/TEM reproducibility first, then separate unavailable LEFI/LiDAR sensitivity assumptions from base public inputs.",reviewed_evidence,phase6_assumption_comparison_only,not_model_input,Public/private reproducibility must be resolved before promotion.
managed_stand_inputs_genetic_gain_fertilization_spacing,managed_yield,"MP11 differentiates early, recent, and future managed stands, uses planting densities of 900/1000/1200 sph with exceptions, applies future genetic gains, and carries fertilization/spacing markers into managed AUs.","262-264, 352-358, 372-375","Appendix B sections 3.5.1.1-3.5.1.2, 7.3.4, and 8.2.2-8.2.7.",config/tipsy/tfl6.yaml; planning/tfl6_tipsy_parameter_crosswalk.csv,"Phase 5 managed curves come from reviewed MP10 parameter evidence and do not yet encode MP11 managed-stand eras, updated genetic gain table, or MP11 AU markers.",model_parameter_update,tipsy_parameter_library_rebuild,Extract MP11 Tables 54-57 into a reviewed managed-yield parameter library before any curve rebuild.,reviewed_evidence,phase6_assumption_comparison_only,not_model_input,Large table extraction is required; this row is not a substitute for that table library.
oaf_vraf_retention_yield_adjustment,yield_adjustment,"MP11 uses standard OAF1 15% and OAF2 5%, and applies a Variable Retention Adjustment Factor shading effect for recent and future managed stands.","258-259, 273, 375-377, 406-409","Appendix B sections 3.1, 3.6.4, 8.2.8, and 10.4.3; Tables 58 and 74.",config/tipsy/tfl6.yaml; planning/tfl6_state_transition_contract.md,Phase 5 TIPSY metadata carries OAF2 0.95 and MP10-derived OAF/utilization parameter evidence; stand-level retention is not yet implemented as MP11 VRAF.,model_parameter_update,yield_adjustment_and_retention_rule_update,Promote OAF and VRAF only after MP11 managed-yield tables and retention zones are extracted into reviewed parameter surfaces.,reviewed_evidence,phase6_assumption_comparison_only,not_model_input,OAF/VRAF affect both yield curves and post-harvest transition assumptions.
utilization_standards,utilization,"MP11 uses 17.5 cm DBH for mature stands older than 120 years, 12.5 cm DBH for immature and future managed stands, 30 cm stump height, 10 cm top DIB, and 50% firmwood standard.",377,Appendix B section 8.3; Table 60.,config/tipsy/tfl6.yaml; planning/tfl6_tipsy_parameter_library.csv,Phase 5 carries MP10-derived utilization evidence in the TIPSY parameter library and a default 17.5 cm utilization fallback in config.,model_parameter_update,yield_pipeline_refresh,Compare MP11 utilization by age class against the MP10 table library before curve regeneration.,reviewed_evidence,phase6_assumption_comparison_only,not_model_input,Direct table extraction is needed before any model-input promotion.
non_recoverable_losses,disturbance_loss,"MP11 accounts for windthrow, insects/disease, fire, and NCLB disturbance; future-stand LRSY is reported after a 1.5% non-recoverable loss reduction.","379-381, 403",Appendix B sections 9.1-9.5 and Table 72.,planning/tfl6_model_input_bundle_qa.md; docs/phase5-known-limitations-release-readiness.rst,Phase 5 runtime release does not expose a reviewed MP11 NRL schedule as a separate model-input contract.,model_parameter_update,scenario_and_account_update,"Create an explicit NRL/disturbance-loss parameter surface and test whether it belongs in yield curves, accounts, harvest-flow comparison, or sensitivity runs.",reviewed_evidence,phase6_assumption_comparison_only,not_model_input,"The 1.5% NRL signal is a comparison target, not an accepted input."
minimum_harvest_age,harvest_rules,MP11 replaces MP10 DBH/harvest-system MHA criteria with 95% CMAI age plus a minimum 350 m3/ha volume requirement; future stands have weighted average MHA 64 years and average volume 586 m3/ha.,"258, 273, 400-404","Appendix B sections 3.1, 3.6.4, and 10.4.1; Tables 71-72.",planning/tfl6_state_transition_contract.md; planning/tfl6_treatment_option_contract.md,Phase 5 transition/treatment contracts require a future MHA or merchantability rule but do not yet implement MP11's 95% CMAI plus 350 m3/ha table surface.,model_rule_update,transition_rule_update,Extract MP11 Tables 71-72 and attach MHA to AU/curve records before model-input rebuild.,reviewed_evidence,phase6_assumption_comparison_only,not_model_input,This rule affects treatment eligibility and harvest scheduling.
harvest_system_distribution,harvest_system,"MP11 reports recent harvest and THLB distributions by ground, cable, and non-conventional systems; THLB is 57.3% ground, 39.6% cable, and 3.1% non-conventional by area.","265-266, 298, 405","Appendix B sections 3.5.1.4, 6.8, and 10.4.2.2; Tables 7, 20, and 73.",planning/tfl6_treatment_option_contract.md; docs/phase5-known-limitations-release-readiness.rst,Phase 5 requires ground/cable/heli fields in the treatment contract but leaves actual assignment deferred and uses generic CC treatment in the runtime.,deferred_phase5_surface_now_has_mp11_target,harvest_system_classifier_update,Build a harvest-system assignment lane and calibrate public proxies against MP11 reported THLB and recent-harvest distributions.,reviewed_evidence,phase6_assumption_comparison_only,not_model_input,"MP11 percentages can be calibration targets, not direct stand-level assignments."
spatial_patchworks_harvest_rules,model_structure,"MP11 uses Patchworks spatial optimization with green-up, adjacency, patch-size, visual-quality, biodiversity, watershed, and old-growth constraints; harvest patch target is 2 ha.","257-258, 274, 404-410","Appendix B sections 3.1, 4, and 10.4.2-10.4.5.",docs/phase5-runtime-release.rst; docs/phase5-rebuild-provenance.rst,"Phase 5 produces a teaching Patchworks runtime, but some MP11 constraint surfaces remain simplified, fallback, or deferred.",model_constraint_update,patchworks_runtime_overhaul,Separate constraints that can be rebuilt from public layers from constraints that require WFP-specific model surfaces.,reviewed_evidence,phase6_assumption_comparison_only,not_model_input,P6.4 scopes the overhaul; it does not alter the current runtime package.
riparian_terrain_karst_retention_resource_netdowns,resource_constraints,"MP11 uses LiDAR stream classification, terrain/DTSM plus LiDAR slope, karst features, OGMAs/WHAs/UWRs, research/PSP/big-tree reserves, and future WTRAs as explicit land-base and constraint assumptions.","258, 272-273, 300-310, 406-409","Appendix B sections 3.1, 3.6, 6.9-6.23, and 10.4.3; Tables 21-26 and 74.",config/tsr/thlb_netdown.recipe.yaml; planning/tfl6_mp11_netdown_delta_crosswalk.md,"Phase 5 has public-layer and benchmark-calibrated netdown surfaces, but MP11 adds or refines several WFP/LiDAR/practice-based categories.",mixed_public_proxy_and_private_data_update,source_layer_and_constraint_overhaul,Drive follow-on issue breakdown from the P6.3 netdown delta crosswalk and treat LiDAR/practice-derived categories as explicit reproducibility gaps.,reviewed_evidence,phase6_assumption_comparison_only,not_model_input,This row links P6.3 netdown work with the broader P6.4 assumption review.
