scenario_id,threshold_pct,min_steep_proportion,accounting,fragment_count,valid_fragment_count,deduction_ha,delta_to_mp11_ha,abs_delta_to_mp11_ha,delta_to_mp11_pct,remaining_after_step220_ha
slope_ge_70_prop_ge_0.75_whole_fragment,70,0.75,whole_fragment,931,39240,1801.7045786667948,-18.29542133320524,18.29542133320524,-1.0052429303958923,127406.97342636852
slope_ge_60_prop_ge_0.9_whole_fragment,60,0.9,whole_fragment,1340,39240,1909.4843993193974,89.48439931939743,89.48439931939743,4.916725237329529,127299.19360571592
slope_ge_80_prop_ge_0.5_whole_fragment,80,0.5,whole_fragment,811,39240,1915.00015064266,95.00015064265995,95.00015064265995,5.219788496849448,127293.67785439265
slope_ge_90_prop_ge_0.25_partial_area_diagnostic,90,0.25,partial_area_diagnostic,3979,39240,2445.4329883371256,625.4329883371256,625.4329883371256,34.364449908633276,126763.24501669819
slope_ge_90_prop_ge_0.5_partial_area_diagnostic,90,0.5,partial_area_diagnostic,3979,39240,2445.4329883371256,625.4329883371256,625.4329883371256,34.364449908633276,126763.24501669819
slope_ge_90_prop_ge_0.75_partial_area_diagnostic,90,0.75,partial_area_diagnostic,3979,39240,2445.4329883371256,625.4329883371256,625.4329883371256,34.364449908633276,126763.24501669819
slope_ge_90_prop_ge_0.9_partial_area_diagnostic,90,0.9,partial_area_diagnostic,3979,39240,2445.4329883371256,625.4329883371256,625.4329883371256,34.364449908633276,126763.24501669819
slope_ge_90_prop_ge_1_partial_area_diagnostic,90,1.0,partial_area_diagnostic,3979,39240,2445.4329883371256,625.4329883371256,625.4329883371256,34.364449908633276,126763.24501669819
slope_ge_90_prop_ge_0.25_whole_fragment,90,0.25,whole_fragment,801,39240,2608.8868807454423,788.8868807454423,788.8868807454423,43.34543300799133,126599.79112428987
slope_ge_90_prop_ge_0.5_whole_fragment,90,0.5,whole_fragment,342,39240,631.3790622882054,-1188.6209377117946,1188.6209377117946,-65.30884273141729,128577.2989427471
slope_ge_70_prop_ge_0.9_whole_fragment,70,0.9,whole_fragment,604,39240,486.1854855721091,-1333.814514427891,1333.814514427891,-73.28651178175225,128722.49251946321
slope_ge_80_prop_ge_0.75_whole_fragment,80,0.75,whole_fragment,375,39240,410.3203012034263,-1409.6796987965736,1409.6796987965736,-77.45492850530624,128798.35770383189
slope_ge_60_prop_ge_1_whole_fragment,60,1.0,whole_fragment,960,39240,335.25107374062384,-1484.7489262593763,1484.7489262593763,-81.57961133293277,128873.42693129469
slope_ge_90_prop_ge_0.75_whole_fragment,90,0.75,whole_fragment,164,39240,114.07724532743913,-1705.9227546725608,1705.9227546725608,-93.73201948750334,129094.60075970787
slope_ge_70_prop_ge_1_whole_fragment,70,1.0,whole_fragment,477,39240,84.82060842376276,-1735.1793915762373,1735.1793915762373,-95.33952700968337,129123.85739661155
slope_ge_80_prop_ge_0.9_whole_fragment,80,0.9,whole_fragment,258,39240,82.79588571022533,-1737.2041142897747,1737.2041142897747,-95.45077551042718,129125.88211932509
slope_ge_80_prop_ge_1_whole_fragment,80,1.0,whole_fragment,225,39240,17.52936268238076,-1802.4706373176193,1802.4706373176193,-99.0368482042648,129191.14864235293
slope_ge_90_prop_ge_0.9_whole_fragment,90,0.9,whole_fragment,117,39240,12.614332582023,-1807.385667417977,1807.385667417977,-99.30690480318555,129196.0636724533
slope_ge_90_prop_ge_1_whole_fragment,90,1.0,whole_fragment,109,39240,3.5164699803890063,-1816.483530019611,1816.483530019611,-99.80678736371489,129205.16153505493
slope_ge_80_prop_ge_0.25_partial_area_diagnostic,80,0.25,partial_area_diagnostic,6090,39240,4939.6414559265195,3119.6414559265195,3119.6414559265195,171.4088712047538,124269.03654910879
slope_ge_80_prop_ge_0.5_partial_area_diagnostic,80,0.5,partial_area_diagnostic,6090,39240,4939.6414559265195,3119.6414559265195,3119.6414559265195,171.4088712047538,124269.03654910879
slope_ge_80_prop_ge_0.75_partial_area_diagnostic,80,0.75,partial_area_diagnostic,6090,39240,4939.6414559265195,3119.6414559265195,3119.6414559265195,171.4088712047538,124269.03654910879
slope_ge_80_prop_ge_0.9_partial_area_diagnostic,80,0.9,partial_area_diagnostic,6090,39240,4939.6414559265195,3119.6414559265195,3119.6414559265195,171.4088712047538,124269.03654910879
slope_ge_80_prop_ge_1_partial_area_diagnostic,80,1.0,partial_area_diagnostic,6090,39240,4939.6414559265195,3119.6414559265195,3119.6414559265195,171.4088712047538,124269.03654910879
slope_ge_60_prop_ge_0.75_whole_fragment,60,0.75,whole_fragment,2093,39240,5126.354993879264,3306.354993879264,3306.354993879264,181.66785680655298,124082.32301115606
slope_ge_70_prop_ge_0.5_whole_fragment,70,0.5,whole_fragment,1857,39240,5646.183041981942,3826.1830419819416,3826.1830419819416,210.22983747153526,123562.49496305337
slope_ge_80_prop_ge_0.25_whole_fragment,80,0.25,whole_fragment,1773,39240,6524.313595905151,4704.313595905151,4704.313595905151,258.4787690057775,122684.36440913015
slope_ge_70_prop_ge_0.25_partial_area_diagnostic,70,0.25,partial_area_diagnostic,8832,39240,9655.063575183536,7835.063575183536,7835.063575183536,430.4979986364581,119553.61442985178
slope_ge_70_prop_ge_0.5_partial_area_diagnostic,70,0.5,partial_area_diagnostic,8832,39240,9655.063575183536,7835.063575183536,7835.063575183536,430.4979986364581,119553.61442985178
slope_ge_70_prop_ge_0.75_partial_area_diagnostic,70,0.75,partial_area_diagnostic,8832,39240,9655.063575183536,7835.063575183536,7835.063575183536,430.4979986364581,119553.61442985178
slope_ge_70_prop_ge_0.9_partial_area_diagnostic,70,0.9,partial_area_diagnostic,8832,39240,9655.063575183536,7835.063575183536,7835.063575183536,430.4979986364581,119553.61442985178
slope_ge_70_prop_ge_1_partial_area_diagnostic,70,1.0,partial_area_diagnostic,8832,39240,9655.063575183536,7835.063575183536,7835.063575183536,430.4979986364581,119553.61442985178
slope_ge_60_prop_ge_0.5_whole_fragment,60,0.5,whole_fragment,3816,39240,12756.701021057783,10936.701021057783,10936.701021057783,600.9176385196585,116451.97698397753
slope_ge_70_prop_ge_0.25_whole_fragment,70,0.25,whole_fragment,3469,39240,13788.164699517514,11968.164699517514,11968.164699517514,657.5914670064568,115420.5133055178
slope_ge_60_prop_ge_0.25_partial_area_diagnostic,60,0.25,partial_area_diagnostic,12428,39240,17429.71112491688,15609.711124916881,15609.711124916881,857.6764354349936,111778.96688011843
slope_ge_60_prop_ge_0.5_partial_area_diagnostic,60,0.5,partial_area_diagnostic,12428,39240,17429.71112491688,15609.711124916881,15609.711124916881,857.6764354349936,111778.96688011843
slope_ge_60_prop_ge_0.75_partial_area_diagnostic,60,0.75,partial_area_diagnostic,12428,39240,17429.71112491688,15609.711124916881,15609.711124916881,857.6764354349936,111778.96688011843
slope_ge_60_prop_ge_0.9_partial_area_diagnostic,60,0.9,partial_area_diagnostic,12428,39240,17429.71112491688,15609.711124916881,15609.711124916881,857.6764354349936,111778.96688011843
slope_ge_60_prop_ge_1_partial_area_diagnostic,60,1.0,partial_area_diagnostic,12428,39240,17429.71112491688,15609.711124916881,15609.711124916881,857.6764354349936,111778.96688011843
slope_ge_60_prop_ge_0.25_whole_fragment,60,0.25,whole_fragment,6208,39240,25865.294530155552,24045.294530155552,24045.294530155552,1321.1700291294258,103343.38347487975
