candidate_id,candidate_family,source_layer,candidate_expression,row_count,area_ha,length_km,field_names,review_status,phase9_decision,model_input_status,notes
vri_bclcs_level1_nonforest_candidate,forest_status,vri_2025_r1_tfl6,"bclcs_level_1 in {'N', 'U'}",1288,10693.44593773795,,bclcs_level_1,candidate_profile_only,candidate_for_p9_4_review,not_model_input,Conservative non-forest/unreported candidate. Final null handling remains review-required.
vri_bclcs_level2_non_treed_water_null_candidate,forest_status,vri_2025_r1_tfl6,"bclcs_level_2 in {'N', 'W'} or null",2195,20209.54230463735,,bclcs_level_2,candidate_profile_only,candidate_for_p9_4_review,not_model_input,Broader non-treed/water/null review envelope; not an accepted exclusion rule.
vri_explicit_nonproductive_candidate,productivity,vri_2025_r1_tfl6,non_productive_descriptor_cd not null or non_productive_cd not null,965,5850.363453283574,,"non_productive_descriptor_cd, non_productive_cd",candidate_profile_only,candidate_for_p9_4_review,not_model_input,Explicit non-productive signal candidate; overlap with non-forest must be handled by ordered overlay.
vri_site_index_lt5_candidate,productivity,vri_2025_r1_tfl6,site_index < 5,473,4608.852880342503,,site_index,candidate_profile_only,candidate_for_p9_4_review,not_model_input,Low-site threshold candidate inherited from earlier teaching-lane review; MP11 LiDAR/LEFI gap remains.
vri_deciduous_leading_candidate,species,vri_2025_r1_tfl6,"species_cd_1 in {'DR', 'AC', 'MB'}",1007,4395.794591003561,,species_cd_1,candidate_profile_only,candidate_for_p9_4_review,not_model_input,Leading deciduous candidate; does not remove conifer-leading stands with deciduous components.
vri_low_height_operability_candidate,operability_proxy,vri_2025_r1_tfl6,"proj_height_class_cd_1 in {'0', '1', '2'}",9023,86027.9195316375,,proj_height_class_cd_1,candidate_profile_only,candidate_for_p9_3_review,not_model_input,Economic/physical operability proxy candidate only; not a final exclusion.
vri_low_volume_operability_candidate,operability_proxy,vri_2025_r1_tfl6,live_stand_volume_125 < 100,3883,32340.148659433766,,live_stand_volume_125,candidate_profile_only,candidate_for_p9_3_review,not_model_input,Public volume proxy for marginal economic operability; threshold is review-only.
vri_hembal_height3_operability_candidate,operability_proxy,vri_2025_r1_tfl6,"species_cd_1 in {'HW', 'HM', 'BA'} and proj_height_class_cd_1 == '3'",3277,27971.218118683,,"species_cd_1, proj_height_class_cd_1",candidate_profile_only,candidate_for_p9_3_review,not_model_input,Earlier operability evidence treats lower-value hembal height class 3 as conditional/marginal.
vri_for_mgmt_land_base_no_qa_signal,qa_signal,vri_2025_r1_tfl6,for_mgmt_land_base_ind == 'N',2437,18652.79811046571,,for_mgmt_land_base_ind,candidate_profile_only,qa_only,not_model_input,Useful QA signal only; do not use as a hidden THLB deduction.
vri_2025_r1_tfl6_bclcs_level_1_top_values,field_distribution,vri_2025_r1_tfl6,top values for `bclcs_level_1`,26959,,,bclcs_level_1,candidate_profile_only,profile_for_p9_3_review,not_model_input,V: 25671; N: 1077; U: 211
vri_2025_r1_tfl6_bclcs_level_2_top_values,field_distribution,vri_2025_r1_tfl6,top values for `bclcs_level_2`,26959,,,bclcs_level_2,candidate_profile_only,profile_for_p9_3_review,not_model_input,T: 24002; N: 1669; L: 762; W: 315; nan: 211
vri_2025_r1_tfl6_non_productive_descriptor_cd_top_values,field_distribution,vri_2025_r1_tfl6,top values for `non_productive_descriptor_cd`,26959,,,non_productive_descriptor_cd,candidate_profile_only,profile_for_p9_3_review,not_model_input,nan: 26713; NP: 139; C: 54; L: 25; R: 14; A: 8; U: 2; NA: 2; NTA: 2
vri_2025_r1_tfl6_non_productive_cd_top_values,field_distribution,vri_2025_r1_tfl6,top values for `non_productive_cd`,26959,,,non_productive_cd,candidate_profile_only,profile_for_p9_3_review,not_model_input,nan: 26017; 12: 300; 35: 287; 11: 98; 15: 97; 25: 62; 42: 55; 18: 27; 54: 7; 03: 5
vri_2025_r1_tfl6_species_cd_1_top_values,field_distribution,vri_2025_r1_tfl6,top values for `species_cd_1`,26959,,,species_cd_1,candidate_profile_only,profile_for_p9_3_review,not_model_input,HW: 15709; CW: 5020; nan: 2109; DR: 1003; YC: 997; HM: 633; BA: 492; SS: 474; FDC: 350; FD: 95
vri_2025_r1_tfl6_proj_height_class_cd_1_top_values,field_distribution,vri_2025_r1_tfl6,top values for `proj_height_class_cd_1`,26959,,,proj_height_class_cd_1,candidate_profile_only,profile_for_p9_3_review,not_model_input,4: 6167; 3: 5680; 1: 4801; 2: 4216; 5: 3438; nan: 2109; 6: 510; 7: 28; 0: 6; 8: 4
vri_2025_r1_tfl6_crown_closure_class_cd_top_values,field_distribution,vri_2025_r1_tfl6,top values for `crown_closure_class_cd`,26959,,,crown_closure_class_cd,candidate_profile_only,profile_for_p9_3_review,not_model_input,6: 7478; 5: 4925; 4: 2801; nan: 2591; 1: 2382; 7: 2188; 3: 1827; 2: 1294; 8: 1175; 0: 213
vdyp7_2025_poly_tfl6_table_schema_summary,inventory_attribute_join,vdyp7_2025_poly_tfl6,parquet row and field summary,26833,,,"feature_id, map_id, polygon_number, org_unit, tsa_name, tfl_name, inventory_standard_code, tsa_number, shrub_height, shrub_crown_closure, shrub_cover_pattern, herb_cover_type_code, herb_cover_pct, herb_cover_pattern_code, bryoid_cover_pct, bec_zone_code, cfs_ecozone, pre_disturbance_stockability, yield_factor, non_productive_descriptor_cd",candidate_profile_only,profile_for_p9_3_review,not_model_input,VDYP table is a join attribute source; R1 remains the complete accounting surface.
vdyp7_2025_poly_tfl6_feature_id_uniqueness,join_qa,vdyp7_2025_poly_tfl6,feature_id uniqueness profile,26833,,,feature_id,candidate_profile_only,qa_only,not_model_input,"Rows=26,833; unique feature_id=26,833."
vdyp7_2025_layer_tfl6_table_schema_summary,inventory_attribute_join,vdyp7_2025_layer_tfl6,parquet row and field summary,25585,,,"feature_id, tree_cover_layer_estimated_id, map_id, polygon_number, layer_level_code, vdyp7_layer_cd, layer_stockability, forest_cover_rank_code, non_forest_descriptor_code, est_site_index_species_cd, estimated_site_index, crown_closure, basal_area_75, stems_per_ha_75, species_cd_1, species_pct_1, species_cd_2, species_pct_2, species_cd_3, species_pct_3",candidate_profile_only,profile_for_p9_3_review,not_model_input,VDYP table is a join attribute source; R1 remains the complete accounting surface.
vdyp7_2025_layer_tfl6_feature_id_uniqueness,join_qa,vdyp7_2025_layer_tfl6,feature_id uniqueness profile,25356,,,feature_id,candidate_profile_only,qa_only,not_model_input,"Rows=25,585; unique feature_id=25,356."
dra_roads_tfl6_geometry_summary,roads,dra_roads_tfl6,geometry summary,10706,,4255.862907194934,,candidate_profile_only,profile_for_p9_3_review,not_model_input,Geometry and field summary only; final overlay filters remain review-required.
fwa_stream_networks_tfl6_STREAM_ORDER_top_values,field_distribution,fwa_stream_networks_tfl6,top values for `STREAM_ORDER`,12078,,,STREAM_ORDER,candidate_profile_only,profile_for_p9_3_review,not_model_input,1: 6587; 2: 2993; 3: 1445; 4: 739; 5: 260; 6: 54
fwa_stream_networks_tfl6_STREAM_MAGNITUDE_top_values,field_distribution,fwa_stream_networks_tfl6,top values for `STREAM_MAGNITUDE`,12078,,,STREAM_MAGNITUDE,candidate_profile_only,profile_for_p9_3_review,not_model_input,1: 6587; 2: 1455; 3: 702; 4: 482; 5: 311; 6: 243; 7: 157; 8: 137; 11: 114; 10: 104
fwa_stream_networks_tfl6_WATERSHED_GROUP_CODE_top_values,field_distribution,fwa_stream_networks_tfl6,top values for `WATERSHED_GROUP_CODE`,12078,,,WATERSHED_GROUP_CODE,candidate_profile_only,profile_for_p9_3_review,not_model_input,HOLB: 7983; NIMP: 2164; BRKS: 1091; NEVI: 840
fwa_stream_networks_tfl6_GNIS_NAME_top_values,field_distribution,fwa_stream_networks_tfl6,top values for `GNIS_NAME`,12078,,,GNIS_NAME,candidate_profile_only,profile_for_p9_3_review,not_model_input,nan: 10791; Goodspeed River: 167; Cluxewe River: 91; San Josef River: 78; Macjack River: 60; Pegattem Creek: 56; Koprino River: 54; Hathaway Creek: 54; Hushamu Creek: 48; Strandby River: 46
fwa_stream_networks_tfl6_geometry_summary,hydrology,fwa_stream_networks_tfl6,geometry summary,12078,,4748.715275953752,"STREAM_ORDER, STREAM_MAGNITUDE, WATERSHED_GROUP_CODE, GNIS_NAME",candidate_profile_only,profile_for_p9_3_review,not_model_input,Geometry and field summary only; final overlay filters remain review-required.
fwa_lakes_tfl6_WATERBODY_TYPE_top_values,field_distribution,fwa_lakes_tfl6,top values for `WATERBODY_TYPE`,599,,,WATERBODY_TYPE,candidate_profile_only,profile_for_p9_3_review,not_model_input,L: 599
fwa_lakes_tfl6_WATERSHED_GROUP_CODE_top_values,field_distribution,fwa_lakes_tfl6,top values for `WATERSHED_GROUP_CODE`,599,,,WATERSHED_GROUP_CODE,candidate_profile_only,profile_for_p9_3_review,not_model_input,BRKS: 306; HOLB: 132; NIMP: 123; NEVI: 38
fwa_lakes_tfl6_geometry_summary,hydrology,fwa_lakes_tfl6,geometry summary,599,3243.8492023785166,,"WATERBODY_TYPE, WATERSHED_GROUP_CODE",candidate_profile_only,profile_for_p9_3_review,not_model_input,Geometry and field summary only; final overlay filters remain review-required.
fwa_wetlands_tfl6_WATERSHED_GROUP_CODE_top_values,field_distribution,fwa_wetlands_tfl6,top values for `WATERSHED_GROUP_CODE`,572,,,WATERSHED_GROUP_CODE,candidate_profile_only,profile_for_p9_3_review,not_model_input,BRKS: 203; NIMP: 171; HOLB: 148; NEVI: 50
fwa_wetlands_tfl6_geometry_summary,hydrology,fwa_wetlands_tfl6,geometry summary,572,982.4237504073899,,WATERSHED_GROUP_CODE,candidate_profile_only,profile_for_p9_3_review,not_model_input,Geometry and field summary only; final overlay filters remain review-required.
ogma_legal_current_tfl6_OGMA_TYPE_top_values,field_distribution,ogma_legal_current_tfl6,top values for `OGMA_TYPE`,165,,,OGMA_TYPE,candidate_profile_only,profile_for_p9_3_review,not_model_input,nan: 154; 1: 11
ogma_legal_current_tfl6_OGMA_PRIMARY_REASON_top_values,field_distribution,ogma_legal_current_tfl6,top values for `OGMA_PRIMARY_REASON`,165,,,OGMA_PRIMARY_REASON,candidate_profile_only,profile_for_p9_3_review,not_model_input,nan: 111; Legalisation: 46; Legislation: 8
ogma_legal_current_tfl6_LEGALIZATION_FRPA_DATE_top_values,field_distribution,ogma_legal_current_tfl6,top values for `LEGALIZATION_FRPA_DATE`,165,,,LEGALIZATION_FRPA_DATE,candidate_profile_only,profile_for_p9_3_review,not_model_input,2016-10-13Z: 94; 2010-07-26Z: 57; nan: 9; 2005-10-26Z: 3; 2007-05-10Z: 1; 2010-08-26Z: 1
ogma_legal_current_tfl6_LAST_AMENDMENT_DATE_top_values,field_distribution,ogma_legal_current_tfl6,top values for `LAST_AMENDMENT_DATE`,165,,,LAST_AMENDMENT_DATE,candidate_profile_only,profile_for_p9_3_review,not_model_input,nan: 97; 2010-08-12Z: 47; 2016-10-19Z: 6; 2010-05-17Z: 5; 2013-08-30Z: 4; 2018-06-05Z: 2; 2014-05-01Z: 1; 2010-03-17Z: 1; 2015-05-21Z: 1; 2016-05-11Z: 1
ogma_legal_current_tfl6_geometry_summary,legal_reserves,ogma_legal_current_tfl6,geometry summary,165,16131.031862530255,,"OGMA_TYPE, OGMA_PRIMARY_REASON, LEGALIZATION_FRPA_DATE, LAST_AMENDMENT_DATE",candidate_profile_only,profile_for_p9_3_review,not_model_input,Geometry and field summary only; final overlay filters remain review-required.
ogma_non_legal_current_tfl6_OGMA_TYPE_top_values,field_distribution,ogma_non_legal_current_tfl6,top values for `OGMA_TYPE`,2,,,OGMA_TYPE,candidate_profile_only,profile_for_p9_3_review,not_model_input,None: 2
ogma_non_legal_current_tfl6_OGMA_PRIMARY_REASON_top_values,field_distribution,ogma_non_legal_current_tfl6,top values for `OGMA_PRIMARY_REASON`,2,,,OGMA_PRIMARY_REASON,candidate_profile_only,profile_for_p9_3_review,not_model_input,None: 2
ogma_non_legal_current_tfl6_ORIGINAL_DECISION_DATE_top_values,field_distribution,ogma_non_legal_current_tfl6,top values for `ORIGINAL_DECISION_DATE`,2,,,ORIGINAL_DECISION_DATE,candidate_profile_only,profile_for_p9_3_review,not_model_input,None: 2
ogma_non_legal_current_tfl6_LAST_AMENDMENT_DATE_top_values,field_distribution,ogma_non_legal_current_tfl6,top values for `LAST_AMENDMENT_DATE`,2,,,LAST_AMENDMENT_DATE,candidate_profile_only,profile_for_p9_3_review,not_model_input,None: 2
ogma_non_legal_current_tfl6_geometry_summary,legal_reserves,ogma_non_legal_current_tfl6,geometry summary,2,0.6871223513684427,,"OGMA_TYPE, OGMA_PRIMARY_REASON, ORIGINAL_DECISION_DATE, LAST_AMENDMENT_DATE",candidate_profile_only,profile_for_p9_3_review,not_model_input,Geometry and field summary only; final overlay filters remain review-required.
wha_approved_tfl6_TAG_top_values,field_distribution,wha_approved_tfl6,top values for `TAG`,45,,,TAG,candidate_profile_only,profile_for_p9_3_review,not_model_input,1-666: 1; 1-766: 1; 1-668: 1; 1-181: 1; 1-385: 1; 1-657: 1; 1-682: 1; 1-658: 1; 1-680: 1; 1-648: 1
wha_approved_tfl6_COMMON_SPECIES_NAME_top_values,field_distribution,wha_approved_tfl6,top values for `COMMON_SPECIES_NAME`,45,,,COMMON_SPECIES_NAME,candidate_profile_only,profile_for_p9_3_review,not_model_input,Marbled Murrelet: 41; Northern Goshawk: 4
wha_approved_tfl6_APPROVAL_DATE_top_values,field_distribution,wha_approved_tfl6,top values for `APPROVAL_DATE`,45,,,APPROVAL_DATE,candidate_profile_only,profile_for_p9_3_review,not_model_input,2018-03-23Z: 26; 2024-09-05Z: 4; 2023-03-09Z: 3; 2006-09-27Z: 3; 2006-03-28Z: 3; 2009-12-14Z: 1; 2005-12-13Z: 1; 2013-02-13Z: 1; 2004-12-01Z: 1; 2016-04-07Z: 1
wha_approved_tfl6_FEATURE_AREA_SQM_top_values,field_distribution,wha_approved_tfl6,top values for `FEATURE_AREA_SQM`,45,,,FEATURE_AREA_SQM,candidate_profile_only,profile_for_p9_3_review,not_model_input,292496.5093: 1; 276578.962: 1; 352858.6433: 1; 2096168.7129: 1; 268151.5528: 1; 916708.497: 1; 278825.3577: 1; 813073.4771: 1; 284532.7347: 1; 724325.1301: 1
wha_approved_tfl6_geometry_summary,legal_reserves,wha_approved_tfl6,geometry summary,45,2942.7956558839774,,"TAG, COMMON_SPECIES_NAME, APPROVAL_DATE, FEATURE_AREA_SQM",candidate_profile_only,profile_for_p9_3_review,not_model_input,Geometry and field summary only; final overlay filters remain review-required.
uwr_approved_tfl6_UWR_NUMBER_top_values,field_distribution,uwr_approved_tfl6,top values for `UWR_NUMBER`,22,,,UWR_NUMBER,candidate_profile_only,profile_for_p9_3_review,not_model_input,u-1-010: 16; u-1-006: 5; u-1-011: 1
uwr_approved_tfl6_SPECIES_1_top_values,field_distribution,uwr_approved_tfl6,top values for `SPECIES_1`,22,,,SPECIES_1,candidate_profile_only,profile_for_p9_3_review,not_model_input,M-ODHE: 20; M-CEEL: 2
uwr_approved_tfl6_APPROVAL_DATE_top_values,field_distribution,uwr_approved_tfl6,top values for `APPROVAL_DATE`,22,,,APPROVAL_DATE,candidate_profile_only,profile_for_p9_3_review,not_model_input,2004-11-18Z: 14; 2004-10-18Z: 3; 2006-06-09Z: 1; 2013-02-19Z: 1; 2017-02-08Z: 1; 2021-03-31Z: 1; 2014-09-04Z: 1
uwr_approved_tfl6_FEATURE_AREA_SQM_top_values,field_distribution,uwr_approved_tfl6,top values for `FEATURE_AREA_SQM`,22,,,FEATURE_AREA_SQM,candidate_profile_only,profile_for_p9_3_review,not_model_input,485324.5566: 1; 4620302.1309: 1; 1487849.291: 1; 1135470.3984: 1; 684692.2409: 1; 2640294.1523: 1; 1161034.9629: 1; 880143.2266: 1; 545486.2656: 1; 438375.6465: 1
uwr_approved_tfl6_geometry_summary,legal_reserves,uwr_approved_tfl6,geometry summary,22,2365.51445990121,,"UWR_NUMBER, SPECIES_1, APPROVAL_DATE, FEATURE_AREA_SQM",candidate_profile_only,profile_for_p9_3_review,not_model_input,Geometry and field summary only; final overlay filters remain review-required.
