feature_id,bec_zone,bec_subzone,planted_species1,planted_species2,planted_species3,planted_species4,planted_species5,planted_density1,planted_density2,planted_density3,planted_density4,planted_density5,genetic_worth1,genetic_worth2,genetic_worth3,genetic_worth4,genetic_worth5,planting_delay,planted_percent,natural_species1,natural_species2,natural_species3,natural_species4,natural_species5,natural_density1,natural_density2,natural_density3,natural_density4,natural_density5,oaf1,oaf2,opening_id,vri_ref_age,vri_ref_sph,at_si,ba_si,bg_si,bl_si,cw_si,dr_si,ep_si,fd_si,hm_si,hw_si,lt_si,lw_si,pa_si,pl_si,pw_si,py_si,sb_si,se_si,ss_si,sw_si,sx_si,yc_si
611143,CWH,vh,Cw,Yc,Hw,,,900,180,120,,,21.0,10.0,0.0,,,1,100,,,,,,,,,,,0.85,0.95,611143,0,0,0,0.0,0,0,16.0,0.0,0,0.0,0,16.0,0,0,0,0.0,0,0,0,0,0.0,0,0,16.0
611153,CWH,vh,Cw,Yc,Hw,Ba,Pl,480,360,240,60,60,21.0,10.0,0.0,0.0,0.0,1,100,,,,,,,,,,,0.85,0.95,611153,0,0,0,7.5,0,0,8.0,0.0,0,0.0,0,9.6,0,0,0,12.0,0,0,0,0,0.0,0,0,8.0
611163,CWH,vh,Cw,Hw,Ba,Ss,,720,360,60,60,,21.0,0.0,0.0,0.0,,1,100,,,,,,,,,,,0.85,0.95,611163,0,0,0,24.0,0,0,20.0,0.0,0,0.0,0,24.0,0,0,0,0.0,0,0,0,0,24.0,0,0,0.0
611173,CWH,vh,Cw,Hw,Yc,,,900,180,120,,,21.0,0.0,10.0,,,1,100,,,,,,,,,,,0.85,0.95,611173,0,0,0,0.0,0,0,20.0,0.0,0,0.0,0,24.0,0,0,0,0.0,0,0,0,0,0.0,0,0,20.0
611183,CWH,vh,Cw,Yc,Hw,Ss,Ba,600,300,180,60,60,21.0,10.0,0.0,0.0,0.0,1,100,,,,,,,,,,,0.85,0.95,611183,0,0,0,24.0,0,0,24.0,0.0,0,0.0,0,24.0,0,0,0,0.0,0,0,0,0,32.0,0,0,24.0
611193,CWH,vh,Ss,Hw,Cw,Dr,Ba,360,300,240,240,60,0.0,0.0,21.0,0.0,0.0,1,100,,,,,,,,,,,0.85,0.95,611193,0,0,0,28.0,0,0,24.0,26.0,0,0.0,0,28.0,0,0,0,0.0,0,0,0,0,28.0,0,0,0.0
611203,CWH,vh,Cw,Yc,Hw,Pl,,840,180,120,60,,21.0,10.0,0.0,0.0,,1,100,,,,,,,,,,,0.85,0.95,611203,0,0,0,0.0,0,0,16.0,0.0,0,0.0,0,16.0,0,0,0,16.0,0,0,0,0,0.0,0,0,16.0
611213,CWH,vm,Hw,Cw,Fd,Ba,Ss,480,360,240,60,60,1.7,21.0,16.0,0.0,0.0,1,100,,,,,,,,,,,0.85,0.95,611213,0,0,0,29.1,0,0,22.6,0.0,0,35.8,0,27.7,0,0,0,0.0,0,0,0,0,30.8,0,0,0.0
611223,CWH,vm,Cw,Hw,,,,1020,180,,,,21.0,0.0,,,,1,100,,,,,,,,,,,0.85,0.95,611223,0,0,0,0.0,0,0,22.6,0.0,0,0.0,0,27.7,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0
611233,CWH,vm,Cw,Fd,Hw,Yc,,600,300,240,60,,21.0,16.0,0.0,10.0,,1,100,,,,,,,,,,,0.85,0.95,611233,0,0,0,0.0,0,0,16.0,0.0,0,32.2,0,17.4,0,0,0,0.0,0,0,0,0,0.0,0,0,16.0
611243,CWH,vm,Hw,Cw,Ba,Ss,,840,240,60,60,,0.0,21.0,0.0,0.0,,1,100,,,,,,,,,,,0.85,0.95,611243,0,0,0,24.0,0,0,22.5,0.0,0,0.0,0,26.2,0,0,0,0.0,0,0,0,0,24.0,0,0,0.0
611253,CWH,vm,Cw,Fd,Hw,Ss,,480,360,240,120,,21.0,16.0,0.0,0.0,,1,100,,,,,,,,,,,0.85,0.95,611253,0,0,0,0.0,0,0,24.0,0.0,0,36.0,0,28.6,0,0,0,0.0,0,0,0,0,32.7,0,0,0.0
611263,CWH,vm,Cw,Hw,Ba,Ss,,600,480,60,60,,21.0,0.0,0.0,0.0,,1,100,,,,,,,,,,,0.85,0.95,611263,0,0,0,29.1,0,0,23.3,0.0,0,0.0,0,25.2,0,0,0,0.0,0,0,0,0,24.0,0,0,0.0
611273,CWH,vm,Cw,Hw,,,,1020,180,,,,21.0,0.0,,,,1,100,,,,,,,,,,,0.85,0.95,611273,0,0,0,0.0,0,0,23.3,0.0,0,0.0,0,25.2,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0
611283,CWH,vm,Hw,Cw,Fd,Ss,Dr,540,300,180,120,60,0.0,21.0,16.0,0.0,32.0,1,100,,,,,,,,,,,0.85,0.95,611283,0,0,0,0.0,0,0,24.0,26.0,0,36.7,0,32.6,0,0,0,0.0,0,0,0,0,32.0,0,0,0.0
611293,CWH,vm,Hw,Cw,Ss,Dr,Fd,540,300,240,60,60,0.0,21.0,0.0,0.0,16.0,1,100,,,,,,,,,,,0.85,0.95,611293,0,0,0,0.0,0,0,24.0,26.0,0,31.6,0,28.0,0,0,0,0.0,0,0,0,0,28.0,0,0,0.0
611303,CWH,vm,Hw,Ss,Cw,Dr,,540,360,240,60,,0.0,0.0,21.0,0.0,,1,100,,,,,,,,,,,0.85,0.95,611303,0,0,0,0.0,0,0,24.0,26.0,0,0.0,0,30.4,0,0,0,0.0,0,0,0,0,32.0,0,0,0.0
611313,CWH,vm,Cw,Hw,Yc,Ss,Pl,960,120,60,36,24,21.0,0.0,10.0,0.0,0.0,1,100,,,,,,,,,,,0.85,0.95,611313,0,0,0,0.0,0,0,19.4,0.0,0,0.0,0,21.0,0,0,0,19.4,0,0,0,0,26.0,0,0,19.4
611323,CWH,vm,Cw,Hw,Dr,Pl,Ss,640,80,32,24,24,21.0,0.0,0.0,0.0,0.0,1,100,,,,,,,,,,,0.85,0.95,611323,0,0,0,0.0,0,0,19.4,26.0,0,0.0,0,21.0,0,0,0,19.4,0,0,0,0,26.0,0,0,0.0
611333,CWH,vm,Cw,Pl,Hw,Ss,,560,160,40,40,,21.0,0.0,0.0,0.0,,1,100,,,,,,,,,,,0.85,0.95,611333,0,0,0,0.0,0,0,19.4,0.0,0,0.0,0,21.0,0,0,0,19.4,0,0,0,0,26.0,0,0,0.0
611343,CWH,vm,Hw,Yc,Ba,Cw,Fd,360,300,240,240,60,1.1,10.0,0.0,21.0,11.0,1,100,,,,,,,,,,,0.85,0.95,611343,0,0,0,25.7,0,0,20.0,0.0,0,31.6,0,28.0,0,0,0,0.0,0,0,0,0,0.0,0,0,20.0
611353,CWH,vm,Hw,Cw,Ba,Yc,,360,360,240,240,,0.0,21.0,0.0,10.0,,1,100,,,,,,,,,,,0.85,0.95,611353,0,0,0,13.8,0,0,16.0,0.0,0,0.0,0,16.0,0,0,0,0.0,0,0,0,0,0.0,0,0,16.0
611373,CWH,vm,Hw,Cw,Ba,Yc,,480,360,240,120,,0.0,21.0,0.0,10.0,,1,100,,,,,,,,,,,0.85,0.95,611373,0,0,0,28.0,0,0,24.0,0.0,0,0.0,0,28.0,0,0,0,0.0,0,0,0,0,0.0,0,0,24.0
611383,CWH,vm,Hw,Cw,Ba,Yc,,480,360,240,120,,0.0,21.0,0.0,10.0,,1,100,,,,,,,,,,,0.85,0.95,611383,0,0,0,28.0,0,0,24.0,0.0,0,0.0,0,28.0,0,0,0,0.0,0,0,0,0,0.0,0,0,24.0
611393,CWH,vm,Hw,Cw,Yc,Ba,,480,360,240,120,,0.0,21.0,10.0,0.0,,1,100,,,,,,,,,,,0.85,0.95,611393,0,0,0,13.8,0,0,16.0,0.0,0,0.0,0,16.0,0,0,0,0.0,0,0,0,0,0.0,0,0,16.0
611403,MH,mm,Hw,Ba,Yc,,,480,360,360,,,0.0,0.0,10.0,,,1,100,,,,,,,,,,,0.85,0.95,611403,0,0,0,12.0,0,0,0.0,0.0,0,0.0,0,16.0,0,0,0,0.0,0,0,0,0,0.0,0,0,14.1
611413,MH,mm,Hw,Ba,Yc,,,320,240,240,,,0.0,0.0,10.0,,,1,100,,,,,,,,,,,0.85,0.95,611413,0,0,0,12.0,0,0,0.0,0.0,0,0.0,0,16.0,0,0,0,0.0,0,0,0,0,0.0,0,0,14.1
