feature_id,row_id,source_table,curve_lane,mp11_au_code,bec_zone,bec_subzone,canonical_au_id,canonical_stratum_code,canonical_species_combo,canonical_mean_si,canonical_median_si,mp11_parsed_weighted_si,tipsy_input_si,tipsy_input_si_source,mp11_weighted_si,canonical_mean_si_abs_diff,canonical_median_si_abs_diff,sph,species_count,species_percent_total,thlb_area_ha,parse_confidence,handoff_status,handoff_note,model_input_status,source_anchor
610011,p10r_table_54_001,Table 54,early_managed,E100,,,,,,,,26.1,,,26.1,,,900,5,100,5,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 358-358; Appendix B pages 112 of 183-112 of 183; Table 54
610021,p10r_table_54_002,Table 54,early_managed,E101,,,,,,,,15.758,,,15.758,,,900,5,100,85,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 358-358; Appendix B pages 112 of 183-112 of 183; Table 54
610031,p10r_table_54_003,Table 54,early_managed,E101F,,,,,,,,15.96,,,15.96,,,900,4,100,119,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 358-358; Appendix B pages 112 of 183-112 of 183; Table 54
610041,p10r_table_54_004,Table 54,early_managed,E103,,,,,,,,11.559,,,11.559,,,900,5,100,35,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 358-358; Appendix B pages 112 of 183-112 of 183; Table 54
610051,p10r_table_54_005,Table 54,early_managed,E104,,,,,,,,23.299,,,23.299,,,900,5,102,1067,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 358-359; Appendix B pages 112 of 183-113 of 183; Table 54
610061,p10r_table_54_006,Table 54,early_managed,E104F,,,,,,,,22.52,,,22.52,,,900,5,102,503,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54
610071,p10r_table_54_007,Table 54,early_managed,E104S,,,,,,,,23.714,,,23.714,,,1600,5,100,118,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54
610081,p10r_table_54_008,Table 54,early_managed,E104sc,,,,,,,,21.254,,,21.254,,,900,5,103,176,review_required,review_required_parser_warning,species_percent_total_not_near_100,not_model_input,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54
610091,p10r_table_54_009,Table 54,early_managed,E104scF,,,,,,,,20.727,,,20.727,,,900,5,100,597,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54
610101,p10r_table_54_010,Table 54,early_managed,E104sh,,,,,,,,23.423,,,23.423,,,900,5,103,142,review_required,review_required_parser_warning,species_percent_total_not_near_100,not_model_input,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54
610111,p10r_table_54_011,Table 54,early_managed,E104shF,,,,,,,,22.98,,,22.98,,,900,5,101,201,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54
610121,p10r_table_54_012,Table 54,early_managed,E106c,,,,,,,,24.4,,,24.4,,,900,5,100,69,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54
610131,p10r_table_54_013,Table 54,early_managed,E106h,,,,,,,,24.421,,,24.421,,,900,5,100,158,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54
610141,p10r_table_54_014,Table 54,early_managed,E106s,,,,,,,,29.172,,,29.172,,,900,5,100,69,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54
610151,p10r_table_54_015,Table 54,early_managed,E108,,,,,,,,27.184,,,27.184,,,900,5,100,20,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54
610161,p10r_table_54_016,Table 54,early_managed,E110,,,,,,,,21.2,,,21.2,,,900,4,100,1,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54
610171,p10r_table_54_017,Table 54,early_managed,E113,,,,,,,,16.802,,,16.802,,,900,5,100,80,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54
610181,p10r_table_54_018,Table 54,early_managed,E113F,,,,,,,,16.319,,,16.319,,,900,5,100,70,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54
610191,p10r_table_54_019,Table 54,early_managed,E200,,,,,,,,25.4,,,25.4,,,900,5,103,215,review_required,review_required_parser_warning,species_percent_total_not_near_100,not_model_input,PDF pages 359-360; Appendix B pages 113 of 183-114 of 183; Table 54
610201,p10r_table_54_020,Table 54,early_managed,E200F,,,,,,,,28.3,,,28.3,,,900,5,100,10,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 360-360; Appendix B pages 114 of 183-114 of 183; Table 54
610211,p10r_table_54_021,Table 54,early_managed,E201b,,,,,,,,28.54,,,28.54,,,900,5,102,735,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 360-360; Appendix B pages 114 of 183-114 of 183; Table 54
610221,p10r_table_54_022,Table 54,early_managed,E201c,,,,,,,,24.482,,,24.482,,,900,5,101,991,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 360-360; Appendix B pages 114 of 183-114 of 183; Table 54
610231,p10r_table_54_023,Table 54,early_managed,E201cF,,,,,,,,24.102,,,24.102,,,900,5,100,604,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 360-360; Appendix B pages 114 of 183-114 of 183; Table 54
610241,p10r_table_54_024,Table 54,early_managed,E201d,,,,,,,,23.81,,,23.81,,,900,4,100,-,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 360-360; Appendix B pages 114 of 183-114 of 183; Table 54
610251,p10r_table_54_025,Table 54,early_managed,E201f,,,,,,,,32.861,,,32.861,,,900,5,101,577,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 360-360; Appendix B pages 114 of 183-114 of 183; Table 54
610261,p10r_table_54_026,Table 54,early_managed,E201fF,,,,,,,,33.836,,,33.836,,,900,4,100,727,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 360-360; Appendix B pages 114 of 183-114 of 183; Table 54
610271,p10r_table_54_027,Table 54,early_managed,E201fS,,,,,,,,33.451,,,33.451,,,1600,2,100,136,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 360-360; Appendix B pages 114 of 183-114 of 183; Table 54
610281,p10r_table_54_028,Table 54,early_managed,E201h,,,,,,,,27.642,,,27.642,,,900,5,101,22068,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 360-360; Appendix B pages 114 of 183-114 of 183; Table 54
610291,p10r_table_54_029,Table 54,early_managed,E201hF,,,,,,,,27.293,,,27.293,,,900,5,101,1683,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 360-360; Appendix B pages 114 of 183-114 of 183; Table 54
610301,p10r_table_54_030,Table 54,early_managed,E201hFS,,,,,,,,27.947,,,27.947,,,1600,5,100,106,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 360-360; Appendix B pages 114 of 183-114 of 183; Table 54
610311,p10r_table_54_031,Table 54,early_managed,E201hS,,,,,,,,27.961,,,27.961,,,1600,5,101,3233,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 360-360; Appendix B pages 114 of 183-114 of 183; Table 54
610321,p10r_table_54_032,Table 54,early_managed,E201sc,,,,,,,,25.616,,,25.616,,,900,5,102,1897,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 360-360; Appendix B pages 114 of 183-114 of 183; Table 54
610331,p10r_table_54_033,Table 54,early_managed,E201scF,,,,,,,,23.759,,,23.759,,,900,5,101,3235,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 360-361; Appendix B pages 114 of 183-115 of 183; Table 54
610341,p10r_table_54_034,Table 54,early_managed,E201scS,,,,,,,,27.932,,,27.932,,,1600,5,100,86,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 361-361; Appendix B pages 115 of 183-115 of 183; Table 54
610351,p10r_table_54_035,Table 54,early_managed,E201sh,,,,,,,,27.097,,,27.097,,,900,5,102,1104,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 361-361; Appendix B pages 115 of 183-115 of 183; Table 54
610361,p10r_table_54_036,Table 54,early_managed,E201shF,,,,,,,,26.955,,,26.955,,,900,5,101,720,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 361-361; Appendix B pages 115 of 183-115 of 183; Table 54
610371,p10r_table_54_037,Table 54,early_managed,E203c,,,,,,,,17.291,,,17.291,,,900,5,101,216,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 361-361; Appendix B pages 115 of 183-115 of 183; Table 54
610381,p10r_table_54_038,Table 54,early_managed,E203cF,,,,,,,,16.76,,,16.76,,,900,4,100,167,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 361-361; Appendix B pages 115 of 183-115 of 183; Table 54
610391,p10r_table_54_039,Table 54,early_managed,E203f,,,,,,,,26.822,,,26.822,,,900,5,100,54,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 361-361; Appendix B pages 115 of 183-115 of 183; Table 54
610401,p10r_table_54_040,Table 54,early_managed,E203fF,,,,,,,,29.734,,,29.734,,,900,3,100,202,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 361-361; Appendix B pages 115 of 183-115 of 183; Table 54
610411,p10r_table_54_041,Table 54,early_managed,E203h,,,,,,,,17.51,,,17.51,,,900,5,101,1217,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 361-361; Appendix B pages 115 of 183-115 of 183; Table 54
610421,p10r_table_54_042,Table 54,early_managed,E203hF,,,,,,,,19.226,,,19.226,,,900,5,100,87,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 361-361; Appendix B pages 115 of 183-115 of 183; Table 54
610431,p10r_table_54_043,Table 54,early_managed,E204,,,,,,,,25.696,,,25.696,,,900,5,101,100,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 361-361; Appendix B pages 115 of 183-115 of 183; Table 54
610441,p10r_table_54_044,Table 54,early_managed,E205b,,,,,,,,31.027,,,31.027,,,900,5,101,140,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 361-361; Appendix B pages 115 of 183-115 of 183; Table 54
610451,p10r_table_54_045,Table 54,early_managed,E205c,,,,,,,,25.404,,,25.404,,,900,5,101,138,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 361-361; Appendix B pages 115 of 183-115 of 183; Table 54
610461,p10r_table_54_046,Table 54,early_managed,E205cF,,,,,,,,25.183,,,25.183,,,900,5,101,213,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 361-361; Appendix B pages 115 of 183-115 of 183; Table 54
610471,p10r_table_54_047,Table 54,early_managed,E205d,,,,,,,,25.151,,,25.151,,,900,4,100,-,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 361-362; Appendix B pages 115 of 183-116 of 183; Table 54
610481,p10r_table_54_048,Table 54,early_managed,E205f,,,,,,,,33.5,,,33.5,,,900,5,101,69,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 362-362; Appendix B pages 116 of 183-116 of 183; Table 54
610491,p10r_table_54_049,Table 54,early_managed,E205fF,,,,,,,,33.357,,,33.357,,,900,5,100,117,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 362-362; Appendix B pages 116 of 183-116 of 183; Table 54
610501,p10r_table_54_050,Table 54,early_managed,E205h,,,,,,,,28.603,,,28.603,,,900,5,101,2442,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 362-362; Appendix B pages 116 of 183-116 of 183; Table 54
610511,p10r_table_54_051,Table 54,early_managed,E205hF,,,,,,,,28.439,,,28.439,,,900,5,102,174,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 362-362; Appendix B pages 116 of 183-116 of 183; Table 54
610521,p10r_table_54_052,Table 54,early_managed,E205hS,,,,,,,,28.645,,,28.645,,,1600,5,101,240,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 362-362; Appendix B pages 116 of 183-116 of 183; Table 54
610531,p10r_table_54_053,Table 54,early_managed,E205s,,,,,,,,31.313,,,31.313,,,900,5,101,415,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 362-362; Appendix B pages 116 of 183-116 of 183; Table 54
610541,p10r_table_54_054,Table 54,early_managed,E206,,,,,,,,24.528,,,24.528,,,900,5,102,96,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 362-362; Appendix B pages 116 of 183-116 of 183; Table 54
610551,p10r_table_54_055,Table 54,early_managed,E206s,,,,,,,,24.137,,,24.137,,,900,5,102,80,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 362-362; Appendix B pages 116 of 183-116 of 183; Table 54
610561,p10r_table_54_056,Table 54,early_managed,E206sF,,,,,,,,24.407,,,24.407,,,900,5,102,182,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 362-362; Appendix B pages 116 of 183-116 of 183; Table 54
610571,p10r_table_54_057,Table 54,early_managed,E207,,,,,,,,31.616,,,31.616,,,900,5,103,575,review_required,review_required_parser_warning,species_percent_total_not_near_100,not_model_input,PDF pages 362-362; Appendix B pages 116 of 183-116 of 183; Table 54
610581,p10r_table_54_058,Table 54,early_managed,E207F,,,,,,,,34.409,,,34.409,,,900,5,101,91,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 362-362; Appendix B pages 116 of 183-116 of 183; Table 54
610591,p10r_table_54_059,Table 54,early_managed,E209d,,,,,,,,25.26,,,25.26,,,900,4,100,-,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 362-362; Appendix B pages 116 of 183-116 of 183; Table 54
610601,p10r_table_54_060,Table 54,early_managed,E209h,,,,,,,,27.753,,,27.753,,,900,5,101,176,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 362-363; Appendix B pages 116 of 183-117 of 183; Table 54
610611,p10r_table_54_061,Table 54,early_managed,E210,,,,,,,,30.149,,,30.149,,,900,5,103,12,review_required,review_required_parser_warning,species_percent_total_not_near_100,not_model_input,PDF pages 363-363; Appendix B pages 117 of 183-117 of 183; Table 54
610621,p10r_table_54_062,Table 54,early_managed,E211,,,,,,,,30.4,,,30.4,,,900,5,105,22,review_required,review_required_parser_warning,species_percent_total_not_near_100,not_model_input,PDF pages 363-363; Appendix B pages 117 of 183-117 of 183; Table 54
610631,p10r_table_54_063,Table 54,early_managed,E214c,,,,,,,,20.713,,,20.713,,,900,5,102,409,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 363-363; Appendix B pages 117 of 183-117 of 183; Table 54
610641,p10r_table_54_064,Table 54,early_managed,E214cF,,,,,,,,19.856,,,19.856,,,900,5,101,713,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 363-363; Appendix B pages 117 of 183-117 of 183; Table 54
610651,p10r_table_54_065,Table 54,early_managed,E214h,,,,,,,,21.082,,,21.082,,,900,5,102,330,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 363-363; Appendix B pages 117 of 183-117 of 183; Table 54
610661,p10r_table_54_066,Table 54,early_managed,E214hF,,,,,,,,20.738,,,20.738,,,900,5,100,298,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 363-363; Appendix B pages 117 of 183-117 of 183; Table 54
610671,p10r_table_54_067,Table 54,early_managed,E231,,,,,,,,21.0,,,21.0,,,900,5,101,30,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 363-363; Appendix B pages 117 of 183-117 of 183; Table 54
610681,p10r_table_54_068,Table 54,early_managed,E233,,,,,,,,23.6,,,23.6,,,900,5,102,18,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 363-363; Appendix B pages 117 of 183-117 of 183; Table 54
610691,p10r_table_54_069,Table 54,early_managed,E300,,,,,,,,24.7,,,24.7,,,900,5,101,47,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 363-363; Appendix B pages 117 of 183-117 of 183; Table 54
610701,p10r_table_54_070,Table 54,early_managed,E301,,,,,,,,26.217,,,26.217,,,900,5,101,5461,high,blocked_missing_public_au_to_bec_mapping,Tables 54/55 use MP11 existing AU codes that do not carry enough public BEC/site-series information for direct BatchTIPSY handoff.,not_model_input,PDF pages 363-363; Appendix B pages 117 of 183-117 of 183; Table 54
